date,home,away
14 June 2018 18:00 MSK (UTC+3),Russia,Saudi Arabia
15 June 2018 17:00 YEKT (UTC+5),Egypt,Uruguay
19 June 2018 21:00 MSK (UTC+3),Russia,Egypt
20 June 2018 18:00 MSK (UTC+3),Uruguay,Saudi Arabia
25 June 2018 18:00 SAMT (UTC+4),Uruguay,Russia
25 June 2018 17:00 MSK (UTC+3),Saudi Arabia,Egypt
15 June 2018 18:00 MSK (UTC+3),Morocco,IR Iran
15 June 2018 21:00 MSK (UTC+3),Portugal,Spain
20 June 2018 15:00 MSK (UTC+3),Portugal,Morocco
20 June 2018 21:00 MSK (UTC+3),IR Iran,Spain
25 June 2018 21:00 MSK (UTC+3),IR Iran,Portugal
25 June 2018 20:00 KALT (UTC+2),Spain,Morocco
16 June 2018 13:00 MSK (UTC+3),France,Australia
16 June 2018 19:00 MSK (UTC+3),Peru,Denmark
21 June 2018 16:00 SAMT (UTC+4),Denmark,Australia
21 June 2018 20:00 YEKT (UTC+5),France,Peru
26 June 2018 17:00 MSK (UTC+3),Denmark,France
26 June 2018 17:00 MSK (UTC+3),Australia,Peru
16 June 2018 16:00 MSK (UTC+3),Argentina,Iceland
16 June 2018 21:00 KALT (UTC+2),Croatia,Nigeria
21 June 2018 21:00 MSK (UTC+3),Argentina,Croatia
22 June 2018 18:00 MSK (UTC+3),Nigeria,Iceland
26 June 2018 21:00 MSK (UTC+3),Nigeria,Argentina
26 June 2018 21:00 MSK (UTC+3),Iceland,Croatia
17 June 2018 16:00 SAMT (UTC+4),Costa Rica,Serbia
17 June 2018 21:00 MSK (UTC+3),Brazil, Switzerland
22 June 2018 15:00 MSK (UTC+3),Brazil,Costa Rica
22 June 2018 20:00 KALT (UTC+2),Serbia, Switzerland
27 June 2018 21:00 MSK (UTC+3),Serbia,Brazil
27 June 2018 21:00 MSK (UTC+3),Switzerland,Costa Rica
17 June 2018 18:00 MSK (UTC+3),Germany,Mexico
18 June 2018 15:00 MSK (UTC+3),Sweden,Korea Republic
23 June 2018 18:00 MSK (UTC+3),Korea Republic,Mexico
23 June 2018 21:00 MSK (UTC+3),Germany,Sweden
27 June 2018 17:00 MSK (UTC+3),Korea Republic,Germany
27 June 2018 19:00 YEKT (UTC+5),Mexico,Sweden
18 June 2018 18:00 MSK (UTC+3),Belgium,Panama
18 June 2018 21:00 MSK (UTC+3),Tunisia,England
23 June 2018 15:00 MSK (UTC+3),Belgium,Tunisia
24 June 2018 15:00 MSK (UTC+3),England,Panama
28 June 2018 20:00 KALT (UTC+2),England,Belgium
28 June 2018 21:00 MSK (UTC+3),Panama,Tunisia
19 June 2018 15:00 MSK (UTC+3),Colombia,Japan
19 June 2018 18:00 MSK (UTC+3),Poland,Senegal
24 June 2018 20:00 YEKT (UTC+5),Japan,Senegal
24 June 2018 21:00 MSK (UTC+3),Poland,Colombia
28 June 2018 17:00 MSK (UTC+3),Japan,Poland
28 June 2018 18:00 SAMT (UTC+4),Senegal,Colombia
