Team,Previous__appearances,Previous__titles,Previous__finals,Previous__semifinals
Angola,0,0,0,0
Argentina,13,2,4,4
Australia,1,0,0,0
Brazil,17,5,7,10
Costa Rica,2,0,0,0
Côte d'Ivoire,0,0,0,0
Croatia,2,0,0,1
Czech Republic,8,0,1,0
Ecuador,1,0,0,0
England,11,1,1,2
France,11,1,1,4
Germany,15,3,7,10
Ghana,0,0,0,0
Iran,2,0,0,0
Italy,15,3,5,6
Japan,2,0,0,0
Mexico,12,0,0,0
Netherlands,8,0,2,3
Paraguay,6,0,0,0
Poland,6,0,0,2
Portugal,3,0,0,1
Saudi Arabia,3,0,0,0
Serbia and Montenegro,9,0,0,2
South Korea,6,0,0,1
Spain,11,0,0,1
Sweden,10,0,1,4
Switzerland,7,0,0,0
Togo,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,3,0,0,0
Ukraine,0,0,0,0
United States,7,0,0,1
