home,home_score,away_score,away
Australia,0,2,Peru
France,2,1,Peru
Saudi Arabia,0,2,Egypt
Russia,2,0,Egypt
Colombia,2,0,Japan
IR Iran,0,4,Spain
Portugal,1,1,Spain
Serbia,0,3,Brazil
Denmark,1,2,France
Germany,2,1,Mexico
Korea Republic,1,2,Mexico
Belgium,4,0,Panama
England,4,0,Panama
Japan,0,2,Poland
Uruguay,2,1,Russia
Costa Rica,2,0,Serbia
Germany,2,1,Sweden
Mexico,1,1,Sweden
England,1,2,Belgium
Argentina,2,1,Croatia
Iceland,0,2,Croatia
Peru,1,2,Denmark
Tunisia,0,2,England
Korea Republic,1,3,Germany
Morocco,2,0,IR Iran
Argentina,3,0,Iceland
Nigeria,2,0,Iceland
Spain,3,1,Morocco
Portugal,3,1,Morocco
Croatia,2,1,Nigeria
Poland,2,1,Senegal
Japan,0,2,Senegal
Belgium,2,0,Tunisia
Panama,0,3,Tunisia
Egypt,0,3,Uruguay
Senegal,1,2,Colombia
Poland,2,1,Colombia
IR Iran,0,4,Portugal
Nigeria,1,3,Argentina
France,2,0,Australia
Denmark,2,0,Australia
Switzerland,2,1,Costa Rica
Brazil,2,1,Costa Rica
Brazil,2,1,Switzerland
Serbia,0,2,Switzerland
Uruguay,3,0,Saudi Arabia
Russia,2,0,Saudi Arabia
Sweden,2,1,Korea Republic
